codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
CPFF11,Híbrido,"R$ 82,48",7985.0,"R$ 0,80","0,96%","3,06%","5,33%","6,99%","1,02%","0,89%","0,58%","1,91%","-2,27%","-1,33%","-0,40%","R$ 340.317.296,98","R$ 85,64","0,96",N/A,N/A,N/A,N/A,N/A,N/A,0
BLMR11,,"R$ 92,40",9023.0,"R$ 0,45","0,50%",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 247.903.995,90","R$ 97,06","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
MAXR11,Outros,"R$ 1.850,00",149.0,"R$ 13,60","0,72%","1,91%","3,73%","7,57%","0,64%","0,62%","0,63%","0,72%","0,00%","0,72%","0,72%","R$ 132.421.848,81","R$ 2.235,16","0,83",N/A,N/A,N/A,N/A,"0,00%",N/A,8
BRCR11,Híbrido,"R$ 81,90",28203.0,"R$ 0,48","0,56%","1,66%","3,25%","6,21%","0,55%","0,54%","0,52%","0,56%","0,00%","0,56%","0,56%","R$ 2.863.711.202,93","R$ 107,50","0,76",N/A,N/A,N/A,N/A,"20,50%","8,30%",14
JRDM11,Shoppings,"R$ 68,48",607.0,"R$ 0,32","0,48%","1,03%","1,28%","1,53%","0,34%","0,21%","0,13%","0,48%","0,00%","0,48%","0,48%","R$ 220.607.172,53","R$ 87,44","0,78",N/A,N/A,N/A,N/A,"5,00%",N/A,1
BMLC11,Lajes Corporativas,"R$ 92,90",234.0,"R$ 0,50","0,53%","1,90%","3,72%","7,41%","0,63%","0,62%","0,62%","1,10%","-0,72%","-0,20%","0,38%","R$ 106.654.620,83","R$ 106,83","0,87",N/A,N/A,N/A,N/A,"5,40%",N/A,2
NCHB11,Títulos e Val. Mob.,"R$ 104,00",1744.0,"R$ 0,70","0,70%","2,96%","5,18%","5,18%","0,99%","0,86%","0,43%","1,89%","-5,49%","-4,82%","-3,70%","R$ 52.957.163,75","R$ 92,73","1,12",N/A,N/A,N/A,N/A,N/A,N/A,0
BCFF11,Títulos e Val. Mob.,"R$ 86,30",147945.0,"R$ 0,56","0,62%","1,78%","3,42%","6,30%","0,59%","0,57%","0,52%","1,23%","-2,32%","-1,72%","-1,12%","R$ 1.740.044.376,58","R$ 84,62","1,02",N/A,N/A,N/A,N/A,N/A,N/A,0
MGFF11,Títulos e Val. Mob.,"R$ 86,00",30908.0,"R$ 0,65","0,74%","2,18%","3,91%","7,65%","0,73%","0,65%","0,64%","1,49%","1,30%","2,06%","2,82%","R$ 801.584.532,16","R$ 88,57","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
RBRL11,Logística,"R$ 107,97",4197.0,"R$ 0,62","0,58%","1,76%","3,43%","0,00%","0,59%","0,57%","0,00%","1,13%","-0,56%","0,01%","0,56%","R$ 604.529.038,62","R$ 106,74","1,01",N/A,N/A,N/A,N/A,"0,00%","0,00%",6
