codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
VOTS11,Títulos e Val. Mob.,"R$ 84,45",2.0,"R$ 0,44","0,52%","1,31%","2,61%","4,98%","0,44%","0,43%","0,41%","1,31%","4,25%","4,79%","5,61%","R$ 81.813.976,34","R$ 98,82","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
JFLL11,Residencial,"R$ 95,50",453.0,"R$ 0,62","0,66%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,40%","1,31%","1,98%","-4,93%","R$ 140.892.284,13","R$ 93,89","1,02",N/A,N/A,N/A,N/A,"31,52%",N/A,2
PLCR11,Híbrido,"R$ 94,98",3210.0,"R$ 0,80","0,83%","2,58%","4,81%","7,25%","0,86%","0,80%","0,60%","2,58%","1,75%","2,60%","4,07%","R$ 207.246.470,16","R$ 98,26","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
BBFI11B,Lajes Corporativas,"R$ 2.315,07",228.0,"R$ 30,00","1,25%","3,83%","6,65%","12,58%","1,28%","1,11%","1,05%","3,83%","8,03%","9,39%","9,99%","R$ 329.032.935,30","R$ 2.531,02","0,91",N/A,N/A,N/A,N/A,"72,20%",N/A,2
RZTR11,Híbrido,"R$ 102,05",36756.0,"R$ 0,80","0,78%","2,35%","0,00%","0,00%","0,78%","0,00%","0,00%","2,35%","-0,96%","-0,18%","-2,46%","R$ 473.429.101,68","R$ 96,67","1,06",N/A,N/A,N/A,N/A,N/A,N/A,0
NEWL11,Híbrido,"R$ 103,20",9816.0,"R$ 0,90","0,87%","2,57%","5,13%","7,52%","0,86%","0,85%","0,63%","2,57%","-1,87%","-1,01%","0,17%","R$ 138.208.030,21","R$ 110,86","0,93",N/A,N/A,N/A,N/A,"0,00%",N/A,1
RBVA11,Outros,"R$ 110,47",17112.0,"R$ 0,85","0,77%","2,37%","4,68%","8,71%","0,79%","0,78%","0,73%","2,37%","-0,23%","0,54%","-0,31%","R$ 1.325.949.622,08","R$ 114,42","0,97",N/A,N/A,N/A,N/A,"0,60%",N/A,72
VTLT11,Logística,"R$ 112,00",817.0,"R$ 0,75","0,67%","1,97%","3,82%","7,09%","0,66%","0,64%","0,59%","1,97%","-2,33%","-1,68%","-1,74%","R$ 216.143.204,79","R$ 102,20","1,10",N/A,N/A,N/A,N/A,"0,00%","0,00%",1
NVHO11,Hospital,"R$ 15,14",577.0,"R$ 0,07","0,47%","1,22%","3,46%","6,31%","0,41%","0,58%","0,53%","1,22%","-8,76%","-8,34%","-28,24%","R$ 513.029.457,24","R$ 12,36","1,22",N/A,N/A,N/A,N/A,N/A,N/A,1
BBRC11,Outros,"R$ 117,24",597.0,"R$ 0,94","0,79%","2,31%","4,28%","8,33%","0,77%","0,71%","0,69%","2,31%","-1,51%","-0,73%","-3,93%","R$ 179.007.336,92","R$ 112,58","1,04",N/A,N/A,N/A,N/A,"5,40%","2,10%",20
BBPO11,Lajes Corporativas,"R$ 114,98",22900.0,"R$ 1,08","0,93%","2,83%","5,27%","9,61%","0,94%","0,88%","0,80%","2,83%","2,38%","3,34%","3,84%","R$ 1.603.242.691,49","R$ 100,71","1,14",N/A,N/A,N/A,N/A,"0,00%","0,00%",64
SPTW11,Lajes Corporativas,"R$ 63,10",22219.0,"R$ 5,15","6,36%","8,43%","11,53%","16,51%","2,81%","1,92%","1,38%","8,43%","-1,30%","4,98%","0,98%","R$ 124.595.321,77","R$ 69,30","0,91",N/A,N/A,N/A,N/A,"0,00%",N/A,1
XPCM11,Lajes Corporativas,"R$ 39,95",8184.0,"R$ 0,38","0,94%","2,53%","8,76%","17,88%","0,84%","1,46%","1,49%","2,53%","-0,49%","0,44%","-28,84%","R$ 177.102.007,33","R$ 73,35","0,54",N/A,N/A,N/A,N/A,"100,00%",N/A,1
RNGO11,Lajes Corporativas,"R$ 64,32",4243.0,"R$ 0,39","0,60%","1,79%","3,76%","7,33%","0,60%","0,63%","0,61%","1,79%","0,03%","0,64%","-6,70%","R$ 270.755.902,81","R$ 101,18","0,64",N/A,N/A,N/A,N/A,"24,20%",N/A,3
TEPP11,Lajes Corporativas,"R$ 83,71",7309.0,"R$ 0,45","0,52%","1,59%","3,25%","6,57%","0,53%","0,54%","0,55%","1,59%","-2,87%","-2,36%","-3,47%","R$ 400.717.948,48","R$ 94,91","0,88",N/A,N/A,N/A,N/A,"19,00%",N/A,4
RBED11,Outros,"R$ 143,02",2529.0,"R$ 1,03","0,71%","2,05%","3,98%","7,67%","0,68%","0,66%","0,64%","2,05%","-3,76%","-3,07%","-3,93%","R$ 269.085.967,08","R$ 150,56","0,95",N/A,N/A,N/A,N/A,"0,00%",N/A,5
URPR11,Outros,"R$ 127,90",9780.0,"R$ 2,87","2,16%","5,53%","10,97%","0,00%","1,84%","1,83%","0,00%","5,53%","3,72%","5,96%","8,54%","R$ 76.934.986,73","R$ 101,94","1,25",N/A,N/A,N/A,N/A,N/A,N/A,0
PATL11,Híbrido,"R$ 91,55",8037.0,"R$ 0,57","0,63%","1,82%","3,51%","0,00%","0,61%","0,58%","0,00%","1,82%","-1,48%","-0,86%","-0,92%","R$ 484.588.076,15","R$ 97,08","0,94",N/A,N/A,N/A,N/A,"7,00%","0,00%",2
JPPA11,Títulos e Val. Mob.,"R$ 99,03",639.0,"R$ 1,05","1,05%","2,66%","4,68%","0,00%","0,89%","0,78%","0,00%","2,66%","1,01%","2,07%","3,25%","R$ 62.853.667,35","R$ 104,07","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
GALG11,,"R$ 112,79",9739.0,"R$ 0,84","0,74%","2,20%","0,00%","0,00%","0,73%","0,00%","0,00%","2,20%","-2,21%","-1,48%","4,04%","R$ 488.220.330,69","R$ 86,98","1,30","0,97%","-0,72%","0,24%","1,17%",N/A,N/A,4
HGFF11,Títulos e Val. Mob.,"R$ 90,26",8535.0,"R$ 0,55","0,60%","1,75%","3,88%","7,24%","0,58%","0,65%","0,60%","1,75%","-2,45%","-1,87%","-3,87%","R$ 281.119.461,64","R$ 98,17","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
CBOP11,Lajes Corporativas,"R$ 76,93",1329.0,"R$ 0,49","0,63%","1,96%","4,42%","7,90%","0,65%","0,74%","0,66%","1,96%","3,53%","4,19%","8,91%","R$ 128.387.081,90","R$ 90,73","0,85",N/A,N/A,N/A,N/A,"10,37%","10,63%",1
AFCR11,Híbrido,"R$ 113,52",5230.0,"R$ 1,07","0,91%","2,65%","5,15%","0,00%","0,88%","0,86%","0,00%","2,65%","2,66%","3,60%","4,42%","R$ 121.872.381,33","R$ 102,65","1,11",N/A,N/A,N/A,N/A,N/A,N/A,0
HGCR11,Títulos e Val. Mob.,"R$ 108,56",49654.0,"R$ 0,68","0,63%","1,82%","3,57%","6,57%","0,61%","0,60%","0,55%","1,82%","4,34%","5,00%","6,45%","R$ 1.306.808.981,44","R$ 105,62","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
HGRE11,Lajes Corporativas,"R$ 136,80",25290.0,"R$ 0,67","0,49%","1,39%","2,87%","5,37%","0,46%","0,48%","0,45%","1,39%","-6,89%","-6,43%","-6,85%","R$ 1.999.370.512,50","R$ 169,18","0,81",N/A,N/A,N/A,N/A,"22,70%","25,32%",21
SARE11,Híbrido,"R$ 97,40",10435.0,"R$ 0,65","0,67%","1,88%","2,59%","4,22%","0,63%","0,43%","0,35%","1,88%","-2,29%","-1,64%","3,92%","R$ 537.320.487,85","R$ 100,35","0,97",N/A,N/A,N/A,N/A,"0,00%",N/A,3
HSRE11,Híbrido,N/A,N/A,"R$ 0,27","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 824.824.878,48","R$ 96,83",N/A,N/A,N/A,N/A,N/A,"0,00%",N/A,2
PORD11,Títulos e Val. Mob.,"R$ 104,00",2402.0,"R$ 0,86","0,82%","2,42%","4,99%","9,26%","0,81%","0,83%","0,77%","2,42%","1,06%","1,89%","3,55%","R$ 199.123.743,91","R$ 100,93","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
BICR11,Títulos e Val. Mob.,"R$ 92,29",14.0,"R$ 0,28","0,29%","0,74%","1,50%","2,92%","0,25%","0,25%","0,24%","0,74%","-2,49%","-2,21%","-1,76%","R$ 49.900.159,74","R$ 99,80","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
EURO11,Logística,"R$ 205,02",219.0,"R$ 1,35","0,66%","1,89%","4,09%","6,29%","0,63%","0,68%","0,52%","1,89%","-3,21%","-2,57%","-4,13%","R$ 108.721.809,07","R$ 283,18","0,72",N/A,N/A,N/A,N/A,"0,00%",N/A,6
RZAK11,Títulos e Val. Mob.,"R$ 97,25",18564.0,"R$ 0,50","0,52%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,52%","-3,41%","-2,91%","-2,91%","R$ 291.392.700,47","R$ 97,07","1,00",N/A,N/A,N/A,N/A,N/A,N/A,0
QAGR11,Outros,"R$ 53,52",13810.0,"R$ 0,40","0,75%","2,10%","3,50%","5,69%","0,70%","0,58%","0,47%","1,60%","-0,83%","-0,09%","0,76%","R$ 295.113.336,76","R$ 58,55","0,91",N/A,N/A,N/A,N/A,N/A,N/A,12
RBBV11,Títulos e Val. Mob.,"R$ 97,13",1192.0,"R$ 0,95","0,99%","2,77%","5,62%","6,83%","0,92%","0,94%","0,57%","2,77%","-4,15%","-3,20%","0,64%","R$ 125.711.158,87","R$ 100,24","0,97",N/A,N/A,N/A,N/A,N/A,N/A,1
GGRC11,Logística,"R$ 125,00",26279.0,"R$ 0,68","0,55%","1,66%","3,20%","6,18%","0,55%","0,53%","0,52%","1,66%","-11,67%","-11,18%","-10,16%","R$ 965.036.672,12","R$ 124,39","1,00",N/A,N/A,N/A,N/A,"0,00%","0,00%",15
CRFF11,Títulos e Val. Mob.,"R$ 81,00",75.0,"R$ 0,50","0,63%","1,76%","3,27%","6,22%","0,59%","0,54%","0,52%","1,76%","-1,99%","-1,37%","-1,45%","R$ 64.957.958,94","R$ 94,14","0,86",N/A,N/A,N/A,N/A,N/A,N/A,0
CXRI11,Híbrido,"R$ 101,47",362.0,"R$ 0,60","0,60%","1,73%","3,22%","7,29%","0,58%","0,54%","0,61%","1,73%","-1,50%","-0,90%","-10,70%","R$ 151.255.749,01","R$ 95,99","1,06",N/A,N/A,N/A,N/A,N/A,N/A,0
