codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
DMAC11,Residencial,78.99,671.0,0.84,0.008100000000000001,0.029300000000000003,0.0525,0.09720000000000001,0.0098,0.0087,0.008100000000000001,0.029300000000000003,-0.0361,-0.028300000000000002,-0.0177,24988101.37,160.07,0.49,,,,,,,0
MBRF11,Outros,800.0,117.0,6.9,0.008,0.0222,0.0418,0.0848,0.0074,0.006999999999999999,0.0070999999999999995,0.0222,-0.0818,-0.0745,-0.1103,115763633.63,1138.69,0.7,,,,,0.0,,2
ONEF11,Lajes Corporativas,140.69,158.0,0.64,0.0044,0.0131,0.0259,0.0509,0.0044,0.0043,0.0042,0.0131,0.0049,0.009300000000000001,0.0125,146178085.59,160.46,0.88,,,,,0.0,,1
RCRB11,Lajes Corporativas,162.0,6638.0,0.8,0.005,0.0147,0.0297,0.062,0.0049,0.0049,0.0052,0.0147,-0.0377,-0.0329,-0.022400000000000003,729567564.25,197.68,0.82,,,,,0.07400000000000001,,10
RVBI11,Títulos e Val. Mob.,94.75,6141.0,0.72,0.0078000000000000005,0.0223,0.042300000000000004,0.0,0.0074,0.0070999999999999995,0.0,0.015,-0.0403,-0.0329,-0.0259,138652994.52,96.29,0.98,,,,,,,0
CVBI11,Títulos e Val. Mob.,106.95,40767.0,1.24,0.0113,0.041100000000000005,0.0736,0.11359999999999999,0.0137,0.0123,0.0095,0.022799999999999997,0.0101,0.0216,0.0333,353260153.13,100.16,1.07,,,,,,,0
IRDM11,Títulos e Val. Mob.,135.98,53175.0,1.23,0.0087,0.0292,0.0584,0.10300000000000001,0.0097,0.0097,0.0086,0.0179,-0.0377,-0.029300000000000003,-0.0204,1594556077.09,99.66,1.36,,,,,,,0
ERCR11,,,,630.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,222673897.46,93717.97,,,,,,,,0
RBRY11,Títulos e Val. Mob.,106.0,20852.0,0.75,0.0070999999999999995,0.0233,0.0421,0.0801,0.0078000000000000005,0.006999999999999999,0.0067,0.014199999999999999,-0.013999999999999999,-0.0069,0.0,205131346.63,104.93,1.01,,,,,,,0
RBRR11,Títulos e Val. Mob.,99.6,16717.0,0.62,0.0064,0.019,0.0344,0.06709999999999999,0.0063,0.005699999999999999,0.005600000000000001,0.0126,0.009899999999999999,0.0163,0.0227,757868069.96,99.22,1.0,,,,,,,0
VGIP11,Outros,108.23,26157.0,1.15,0.009899999999999999,0.0339,0.0646,0.0,0.0113,0.0108,0.0,0.020099999999999996,0.013300000000000001,0.023399999999999997,0.0338,331299375.0,94.81,1.14,,,,,,,0
RBRF11,Títulos e Val. Mob.,93.4,45182.0,0.6,0.006500000000000001,0.021400000000000002,0.0447,0.0788,0.0070999999999999995,0.0074,0.0066,0.0125,-0.0684,-0.0623,-0.056600000000000004,1273257054.09,93.07,1.0,,,,,,,0
IBFF11,Títulos e Val. Mob.,72.96,1545.0,0.42,0.005600000000000001,0.0147,0.0335,0.060899999999999996,0.0049,0.005600000000000001,0.0051,0.0104,-0.048799999999999996,-0.0435,-0.038900000000000004,58290001.14,87.43,0.83,,,,,,,0
MCCI11,Títulos e Val. Mob.,103.09,31111.0,0.7,0.0067,0.019299999999999998,0.0369,0.0728,0.0064,0.0060999999999999995,0.0060999999999999995,0.013500000000000002,0.0189,0.025699999999999997,0.0327,890069479.94,99.7,1.03,,,,,,,0
VGIR11,Títulos e Val. Mob.,95.1,7745.0,0.45,0.005,0.0159,0.030299999999999997,0.064,0.0053,0.0051,0.0053,0.0101,0.0192,0.024300000000000002,0.029500000000000002,436618569.79,96.89,0.98,,,,,,,0
MGHT11,Hotel,97.5,2.0,0.65,0.0067,0.019,0.0342,0.0,0.0063,0.005699999999999999,0.0,0.0132,-0.0297,-0.0232,-0.0169,105158472.29,100.33,0.97,,,,,,,0
CPTS11,Títulos e Val. Mob.,102.2,59388.0,1.05,0.0105,0.0305,0.057699999999999994,0.1,0.0102,0.0096,0.0083,0.0207,-0.0294,-0.0192,-0.0092,1281820456.23,95.27,1.07,,,,,,,0
MORE11,Títulos e Val. Mob.,98.0,1948.0,0.52,0.0053,0.018500000000000003,0.042699999999999995,0.0,0.0062,0.0070999999999999995,0.0,0.0098,-0.1073,-0.1026,-0.0986,233333373.72,100.61,0.97,,,,,,,0
GCFF11,Títulos e Val. Mob.,96.31,73.0,0.9,0.009000000000000001,0.0248,0.0,0.0,0.0083,0.0,0.0,0.018000000000000002,0.0681,0.07769999999999999,0.0874,33662542.51,99.42,0.97,,,,,,,0
BLCP11,Outros,103.13,1.0,0.67,0.006500000000000001,0.020499999999999997,0.0,0.0,0.0068000000000000005,0.0,0.0,0.013600000000000001,-0.0223,-0.0159,-0.0089,112436077.31,103.14,1.0,,,,,,,2
HCTR11,Outros,152.4,30464.0,2.0,0.0134,0.0441,0.0943,0.15810000000000002,0.0147,0.015700000000000002,0.0132,0.0276,-0.036699999999999997,-0.0239,-0.009899999999999999,843764436.4,117.88,1.29,,,,,,,0
OUFF11,Títulos e Val. Mob.,83.55,3402.0,0.6,0.0070999999999999995,0.0245,0.042300000000000004,0.0839,0.008199999999999999,0.006999999999999999,0.006999999999999999,0.0138,-0.0336,-0.026699999999999998,-0.0202,164625376.7,90.74,0.92,,,,,,,0
